,department,municipality,postal_code,household_size,organization_assistance,org__other,org__productive_support _social_program,org__education,org__non_food_products,org__health_benefits,org__basket_bonus_cupon_for_food,org__in_kind_food,org__money,government_assistance,gov__other,gov__productive_support _social_program,gov__education,gov__non_food_products,gov__health_benefits,gov__basket_bonus_cupon_for_food,gov__in_kind_food,gov__money,wfp_assistance,wfp__cash,wfp__bonus_coupon,wfp__in_species,num_person_income,income_source,total_income,has_debt,debt_amount,debt_reason,has_saved_money,ammount_saved,cari,cari_category,cari_insecurity
12,bogota_dc,bogota__d_c_,11001,12,0.0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,1,0.0,0,0,0,3,Work,700000,1,18000000,Other,0,,3.5,Severe Insecurity,1
40,bogota_dc,bogota__d_c_,11001,11,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,3,Work,5000000,1,10000000,Other,0,,1.0,Secure,0
115,bogota_dc,bogota__d_c_,11001,9,0.0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,1,0.0,0,0,0,3,Work,1300000,1,2300000,Buy food,0,,3.0,Moderate Insecurity,1
116,bogota_dc,bogota__d_c_,11001,9,0.0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,1,0.0,0,0,0,3,Work,1300000,1,2300000,Buy food,0,,3.0,Moderate Insecurity,1
117,bogota_dc,bogota__d_c_,11001,9,0.0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,1,0.0,0,0,0,3,Work,1300000,1,2300000,Buy food,0,,3.0,Moderate Insecurity,1
133,bogota_dc,bogota__d_c_,11001,9,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,2,Work,2000000,0,,,0,,2.75,Moderate Insecurity,1
134,bogota_dc,bogota__d_c_,11001,9,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,3,Pension,2050000,1,1190000,Other,0,,2.25,Marginal Security,0
218,bogota_dc,bogota__d_c_,11001,8,0.0,0,0,0,0,0,0,0,0,1.0,1,0,0,0,0,0,0,0,0.0,0,0,0,2,Work,1500000,1,4000000,"Purchase of assets (house, apartment, car, motorcycle, household appliances, etc.)",0,,2.5,Moderate Insecurity,1
219,bogota_dc,bogota__d_c_,11001,8,0.0,0,0,0,0,0,0,0,0,1.0,1,0,0,0,0,0,0,0,0.0,0,0,0,2,Work,1500000,1,4000000,"Purchase of assets (house, apartment, car, motorcycle, household appliances, etc.)",0,,2.5,Moderate Insecurity,1
220,bogota_dc,bogota__d_c_,11001,8,0.0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,1,0,0,0.0,0,0,0,5,Work,4000000,0,,,0,,1.0,Secure,0
221,bogota_dc,bogota__d_c_,11001,8,0.0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,1,0,0,0.0,0,0,0,5,Work,4000000,0,,,0,,1.0,Secure,0
222,bogota_dc,bogota__d_c_,11001,8,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,3,Pension,800000,1,1070000,Other,0,,2.5,Moderate Insecurity,1
223,bogota_dc,bogota__d_c_,11001,8,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,3,Pension,800000,1,1070000,Other,0,,2.5,Moderate Insecurity,1
