,department,municipality,postal_code,household_size,organization_assistance,org__other,org__productive_support _social_program,org__education,org__non_food_products,org__health_benefits,org__basket_bonus_cupon_for_food,org__in_kind_food,org__money,government_assistance,gov__other,gov__productive_support _social_program,gov__education,gov__non_food_products,gov__health_benefits,gov__basket_bonus_cupon_for_food,gov__in_kind_food,gov__money,wfp_assistance,wfp__cash,wfp__bonus_coupon,wfp__in_species,num_person_income,income_source,total_income,has_debt,debt_amount,debt_reason,has_saved_money,ammount_saved,cari,cari_category,cari_insecurity
174,archipielago_de_san_andres,san_andres,88001,9,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,2,Work,1000000,0,,,0,,3.25,Moderate Insecurity,1
175,archipielago_de_san_andres,san_andres,88001,9,0.0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,1,0.0,0,0,0,3,Work,3900000,0,,,0,,1.0,Secure,0
176,archipielago_de_san_andres,san_andres,88001,9,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,5,Work,7000000,0,,,1,500000,1.0,Secure,0
366,archipielago_de_san_andres,san_andres,88001,8,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,4,Work,7000000,1,35000000,"Purchase of assets (house, apartment, car, motorcycle, household appliances, etc.)",0,,1.0,Secure,0
367,archipielago_de_san_andres,san_andres,88001,8,0.0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,1,0.0,0,0,0,2,Work,2360000,0,,,0,,2.25,Marginal Security,0
368,archipielago_de_san_andres,san_andres,88001,8,0.0,0,0,0,0,0,0,0,0,1.0,0,0,0,1,0,0,0,0,0.0,0,0,0,3,Work,2600000,1,130000,Other,0,,2.25,Marginal Security,0
369,archipielago_de_san_andres,san_andres,88001,8,0.0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,1,0.0,0,0,0,3,Work,1000000,1,5000000,Buy productive inputs,0,,2.0,Marginal Security,0
674,archipielago_de_san_andres,san_andres,88001,7,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,3,Work,2000000,1,350000,Buy food,0,,2.25,Marginal Security,0
675,archipielago_de_san_andres,san_andres,88001,7,0.0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,1,0.0,0,0,0,5,Work,5560000,0,,,1,2000000,1.75,Marginal Security,0
676,archipielago_de_san_andres,san_andres,88001,7,0.0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,1,0.0,0,0,0,3,Work,1500000,1,1200000,"Purchase of assets (house, apartment, car, motorcycle, household appliances, etc.)",0,,1.75,Marginal Security,0
677,archipielago_de_san_andres,san_andres,88001,7,0.0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,1,0.0,0,0,0,3,Work,2800000,0,,,1,1000000,1.25,Secure,0
678,archipielago_de_san_andres,san_andres,88001,7,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,2,Work,3000000,1,7000000,Other,0,,1.75,Marginal Security,0
