,department,municipality,postal_code,household_size,organization_assistance,org__other,org__productive_support _social_program,org__education,org__non_food_products,org__health_benefits,org__basket_bonus_cupon_for_food,org__in_kind_food,org__money,government_assistance,gov__other,gov__productive_support _social_program,gov__education,gov__non_food_products,gov__health_benefits,gov__basket_bonus_cupon_for_food,gov__in_kind_food,gov__money,wfp_assistance,wfp__cash,wfp__bonus_coupon,wfp__in_species,num_person_income,income_source,total_income,has_debt,debt_amount,debt_reason,has_saved_money,ammount_saved,cari,cari_category,cari_insecurity
0,bolivar,cartagena_de_indias,13001,17,0.0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,1,0.0,0,0,0,3,Work,1500000,1,5000000,Other,1,200000,3.75,Severe Insecurity,1
10,bolivar,cartagena_de_indias,13001,13,0.0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0.0,0,0,0,2,Work,250000,1,3000000,"Cover basic services (water, electricity)",0,,2.75,Moderate Insecurity,1
17,bolivar,turbaco,13836,12,0.0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,1,0.0,0,0,0,2,Work,1000000,0,,,0,,2.75,Moderate Insecurity,1
23,bolivar,cartagena_de_indias,13001,12,0.0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,1,0.0,0,0,0,2,Work,1150000,1,9000000,"Cover basic services (water, electricity)",0,,2.75,Moderate Insecurity,1
24,bolivar,cartagena_de_indias,13001,12,0.0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,1,0.0,0,0,0,3,Work,900000,0,,,0,,3.0,Moderate Insecurity,1
46,bolivar,cartagena_de_indias,13001,11,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,3,Pension,1200000,0,,,0,,2.25,Marginal Security,0
47,bolivar,el_carmen_de_bolivar,13244,11,0.0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,1,0.0,0,0,0,2,Work,450000,0,,,0,,2.5,Moderate Insecurity,1
95,bolivar,cartagena_de_indias,13001,10,0.0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,1,0.0,0,0,0,10,Work,1200000,0,,,1,200000,3.75,Severe Insecurity,1
96,bolivar,cartagena_de_indias,13001,10,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,5,Work,1500000,0,,,0,,2.0,Marginal Security,0
97,bolivar,cartagena_de_indias,13001,10,0.0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,1,0.0,0,0,0,1,Work,250000,0,,,0,,3.0,Moderate Insecurity,1
132,bolivar,el_guamo,13248,9,0.0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,1,0.0,0,0,0,3,Work,500000,0,,,0,,2.75,Moderate Insecurity,1
169,bolivar,cartagena_de_indias,13001,9,0.0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,1,0,0,0.0,0,0,0,3,Work,1000000,1,10000000,Other,1,120000,3.25,Moderate Insecurity,1
170,bolivar,cartagena_de_indias,13001,9,0.0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,1,0.0,0,0,0,1,Work,900000,1,600000,Buy food,0,,2.5,Moderate Insecurity,1
171,bolivar,cartagena_de_indias,13001,9,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,2,Work,700000,1,5000000,"Purchase of assets (house, apartment, car, motorcycle, household appliances, etc.)",1,99,2.75,Moderate Insecurity,1
172,bolivar,cartagena_de_indias,13001,9,0.0,0,0,0,0,0,0,0,0,1.0,0,0,1,0,0,0,0,1,0.0,0,0,0,2,Work,300000,1,1080000,Buy food,0,,1.75,Marginal Security,0
217,bolivar,el_guamo,13248,8,0.0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,1,0.0,0,0,0,2,Work,1000000,1,3000000,Pay school or education expenses,0,,2.25,Marginal Security,0
265,bolivar,el_carmen_de_bolivar,13244,8,0.0,0,0,0,0,0,0,0,0,1.0,0,0,1,0,0,0,0,1,0.0,0,0,0,2,Work,1300000,1,4000000,Other,0,,1.75,Marginal Security,0
350,bolivar,cartagena_de_indias,13001,8,0.0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,1,0.0,0,0,0,1,Work,200000,0,,,0,,2.5,Moderate Insecurity,1
351,bolivar,cartagena_de_indias,13001,8,0.0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,1,0.0,0,0,0,1,Government assistance,1000000,1,1200000,"Purchase of assets (house, apartment, car, motorcycle, household appliances, etc.)",0,,2.75,Moderate Insecurity,1
352,bolivar,cartagena_de_indias,13001,8,0.0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,1,0,0,1,0.0,0,0,0,1,Work,200000,0,,,0,,3.5,Severe Insecurity,1
353,bolivar,cartagena_de_indias,13001,8,0.0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,1,0.0,0,0,0,2,Work,800000,0,,,1,300000,3.25,Moderate Insecurity,1
354,bolivar,cartagena_de_indias,13001,8,0.0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,1,0.0,0,0,0,3,Work,2580000,0,,,0,,2.0,Marginal Security,0
355,bolivar,cartagena_de_indias,13001,8,0.0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,1,0.0,0,0,0,2,Work,1000000,1,50000000,"Purchase of assets (house, apartment, car, motorcycle, household appliances, etc.)",0,,3.0,Moderate Insecurity,1
356,bolivar,cartagena_de_indias,13001,8,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,3,Work,1800000,0,,,0,,2.0,Marginal Security,0
357,bolivar,cartagena_de_indias,13001,8,0.0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,1,0.0,0,0,0,2,Work,2000000,1,1100000,"Purchase of assets (house, apartment, car, motorcycle, household appliances, etc.)",1,500000,2.0,Marginal Security,0
358,bolivar,cartagena_de_indias,13001,8,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,3,Work,1200000,0,,,0,,2.75,Moderate Insecurity,1
359,bolivar,cartagena_de_indias,13001,8,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,2,Work,1100000,1,3000000,Other,0,,1.75,Marginal Security,0
360,bolivar,cartagena_de_indias,13001,8,0.0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,1,0.0,0,0,0,4,Work,800000,1,27000000,Other,0,,2.25,Marginal Security,0
361,bolivar,el_carmen_de_bolivar,13244,8,0.0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,1,1,0.0,0,0,0,3,Work,400000,1,1000000,Buy food,0,,3.75,Severe Insecurity,1
362,bolivar,el_carmen_de_bolivar,13244,8,0.0,0,0,0,0,0,0,0,0,1.0,0,0,1,0,0,0,0,0,0.0,0,0,0,2,Work,600000,0,,,0,,2.75,Moderate Insecurity,1
424,bolivar,turbaco,13836,7,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,1,Work,1000000,0,,,0,,2.75,Moderate Insecurity,1
425,bolivar,turbaco,13836,7,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,1,Work,1000000,0,,,0,,2.75,Moderate Insecurity,1
487,bolivar,el_guamo,13248,7,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,4,Work,900000,0,,,0,,2.25,Marginal Security,0
488,bolivar,el_guamo,13248,7,0.0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,1,1,0.0,0,0,0,3,Work,1200000,0,,,0,,2.5,Moderate Insecurity,1
489,bolivar,turbaco,13836,7,0.0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0.0,0,0,0,3,Work,400000,0,,,1,100000,2.25,Marginal Security,0
490,bolivar,turbaco,13836,7,0.0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,1,0.0,0,0,0,2,Work,300000,0,,,0,,3.25,Moderate Insecurity,1
491,bolivar,turbaco,13836,7,0.0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,1,0.0,0,0,0,3,Work,400000,1,99,Other,0,,3.5,Severe Insecurity,1
658,bolivar,cartagena_de_indias,13001,7,0.0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,1,0.0,0,0,0,1,Work,700000,0,,,0,,2.75,Moderate Insecurity,1
659,bolivar,cartagena_de_indias,13001,7,0.0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0.0,0,0,0,1,Work,150000,0,,,0,,4.0,Severe Insecurity,1
660,bolivar,cartagena_de_indias,13001,7,0.0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,1,0.0,0,0,0,2,Work,1000000,1,2500000,"Purchase of assets (house, apartment, car, motorcycle, household appliances, etc.)",0,,3.25,Moderate Insecurity,1
661,bolivar,cartagena_de_indias,13001,7,0.0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,1,0.0,0,0,0,3,Remittances from migrants or help from family/friends,1000000,0,,,0,,2.5,Moderate Insecurity,1
662,bolivar,cartagena_de_indias,13001,7,0.0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,1,0.0,0,0,0,2,Work,1000000,0,,,0,,2.75,Moderate Insecurity,1
663,bolivar,cartagena_de_indias,13001,7,1.0,0,0,0,0,0,0,1,0,1.0,0,0,0,0,0,0,1,0,1.0,0,0,1,2,Work,350000,0,,,1,300000,2.75,Moderate Insecurity,1
664,bolivar,cartagena_de_indias,13001,7,0.0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,1,0.0,0,0,0,1,Work,1000000,1,1000000,Cover health expenses,1,32000,2.25,Marginal Security,0
665,bolivar,cartagena_de_indias,13001,7,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,1,Work,1000000,0,,,0,,2.5,Moderate Insecurity,1
666,bolivar,cartagena_de_indias,13001,7,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,2,Pension,480000,1,28000000,"Purchase of assets (house, apartment, car, motorcycle, household appliances, etc.)",0,,2.75,Moderate Insecurity,1
667,bolivar,cartagena_de_indias,13001,7,0.0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,1,0.0,0,0,0,2,Work,450000,1,1500000,"Cover basic services (water, electricity)",0,,3.0,Moderate Insecurity,1
668,bolivar,cartagena_de_indias,13001,7,0.0,0,0,0,0,0,0,0,0,1.0,0,0,1,0,0,0,0,1,0.0,0,0,0,2,Work,1200000,0,,,0,,2.0,Marginal Security,0
669,bolivar,cartagena_de_indias,13001,7,0.0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,1,0.0,0,0,0,1,Work,500000,1,1200000,Buy food,0,,3.0,Moderate Insecurity,1
