,department,municipality,postal_code,household_size,organization_assistance,org__other,org__productive_support _social_program,org__education,org__non_food_products,org__health_benefits,org__basket_bonus_cupon_for_food,org__in_kind_food,org__money,government_assistance,gov__other,gov__productive_support _social_program,gov__education,gov__non_food_products,gov__health_benefits,gov__basket_bonus_cupon_for_food,gov__in_kind_food,gov__money,wfp_assistance,wfp__cash,wfp__bonus_coupon,wfp__in_species,num_person_income,income_source,total_income,has_debt,debt_amount,debt_reason,has_saved_money,ammount_saved,cari,cari_category,cari_insecurity
11,cauca,timbiqui,19809,12,0.0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,1,0,0,0,0.0,0,0,0,4,Work,500000,0,,,0,,2.75,Moderate Insecurity,1
70,cauca,timbiqui,19809,10,0.0,0,0,0,0,0,0,0,0,1.0,0,0,1,0,1,0,0,1,0.0,0,0,0,2,Work,400000,1,500000,Buy food,0,,3.25,Moderate Insecurity,1
129,cauca,bolivar,19100,9,0.0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,1,0.0,0,0,0,6,Work,480000,0,,,0,,2.5,Moderate Insecurity,1
130,cauca,bolivar,19100,9,0.0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,1,0.0,0,0,0,5,Work,1500000,1,6000000,Other,0,,2.25,Marginal Security,0
131,cauca,timbiqui,19809,9,0.0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,1,0.0,0,0,0,3,Work,600000,0,,,0,,2.25,Marginal Security,0
211,cauca,timbiqui,19809,8,0.0,0,0,0,0,0,0,0,0,1.0,0,0,1,0,1,0,0,1,0.0,0,0,0,2,Work,600000,1,170000000,"Cover basic services (water, electricity)",0,,2.75,Moderate Insecurity,1
262,cauca,timbiqui,19809,8,0.0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,1,0,0,1,0.0,0,0,0,1,Work,700000,0,,,0,,3.0,Moderate Insecurity,1
343,cauca,popayan,19001,8,0.0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,1,0.0,0,0,0,3,Work,1000000,1,8000000,Other,0,,2.5,Moderate Insecurity,1
422,cauca,bolivar,19100,7,0.0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,1,0.0,0,0,0,1,Work,700000,1,8000000,Cover health expenses,1,3000000,1.25,Secure,0
483,cauca,timbiqui,19809,7,0.0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,1,0.0,0,0,0,1,Work,50000,1,600000,Buy food,0,,3.25,Moderate Insecurity,1
484,cauca,timbiqui,19809,7,0.0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,1,0.0,0,0,0,3,Work,1000000,1,12000000,Other,0,,2.75,Moderate Insecurity,1
636,cauca,popayan,19001,7,0.0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,1,0.0,0,0,0,4,Work,5000000,1,2000000,Pay school or education expenses,0,,2.75,Moderate Insecurity,1
637,cauca,popayan,19001,7,0.0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,1,0.0,0,0,0,2,Work,1000000,0,,,0,,2.25,Marginal Security,0
638,cauca,popayan,19001,7,0.0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,1,0.0,0,0,0,1,Work,1200000,0,,,0,,2.25,Marginal Security,0
639,cauca,popayan,19001,7,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,2,Work,1000000,0,,,0,,3.0,Moderate Insecurity,1
640,cauca,popayan,19001,7,0.0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,1,0.0,0,0,0,2,Pension,1800000,0,,,0,,1.0,Secure,0
641,cauca,rosas,19622,7,0.0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,1,0.0,0,0,0,2,Work,1000000,0,,,0,,2.0,Marginal Security,0
942,cauca,bolivar,19100,6,0.0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,1,0.0,0,0,0,1,Work,240000,0,,,0,,2.75,Moderate Insecurity,1
943,cauca,bolivar,19100,6,0.0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,1,0.0,0,0,0,3,Work,150000,0,,,1,99,2.25,Marginal Security,0
944,cauca,bolivar,19100,6,0.0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,1,0.0,0,0,0,1,Work,1600000,0,,,0,,1.5,Marginal Security,0
945,cauca,bolivar,19100,6,0.0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,1,0.0,0,0,0,2,Work,140000,0,,,0,,2.0,Marginal Security,0
946,cauca,timbiqui,19809,6,0.0,0,0,0,0,0,0,0,0,1.0,0,0,1,0,1,0,0,1,0.0,0,0,0,1,Work,300000,1,500000,Buy food,0,,3.25,Moderate Insecurity,1
1219,cauca,popayan,19001,6,0.0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,1,0.0,0,0,0,1,Work,950000,0,,,0,,2.75,Moderate Insecurity,1
1220,cauca,popayan,19001,6,0.0,0,0,0,0,0,0,0,0,1.0,1,0,0,0,0,0,0,0,0.0,0,0,0,3,Pension,4500000,1,150000000,Other,1,800000,1.0,Secure,0
1221,cauca,popayan,19001,6,0.0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,1,0.0,0,0,0,1,Work,1100000,0,,,0,,2.5,Moderate Insecurity,1
1222,cauca,popayan,19001,6,0.0,0,0,0,0,0,0,0,0,1.0,1,0,0,0,0,0,0,0,0.0,0,0,0,3,Assistance from United Nations / NGOs / charitable organizations,6000000,0,,,1,5000000,1.75,Marginal Security,0
1223,cauca,popayan,19001,6,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,2,Work,300000,0,,,0,,2.75,Moderate Insecurity,1
1224,cauca,popayan,19001,6,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,2,Work,1000000,0,,,0,,2.75,Moderate Insecurity,1
1225,cauca,popayan,19001,6,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,3,Work,1000000,0,,,0,,2.0,Marginal Security,0
1226,cauca,popayan,19001,6,0.0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,1,0.0,0,0,0,2,Work,1200000,1,887000,Buy productive inputs,0,,2.75,Moderate Insecurity,1
1227,cauca,popayan,19001,6,0.0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,1,0.0,0,0,0,3,Work, ,1,4700000,"Purchase of assets (house, apartment, car, motorcycle, household appliances, etc.)",0,,1.75,Marginal Security,0
1228,cauca,popayan,19001,6,0.0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,1,0.0,0,0,0,2,Work,800000,0,,,0,,2.75,Moderate Insecurity,1
1229,cauca,popayan,19001,6,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,3,Work,2500000,1,1000000,"Purchase of assets (house, apartment, car, motorcycle, household appliances, etc.)",1,3600000,1.75,Marginal Security,0
1230,cauca,popayan,19001,6,0.0,0,0,0,0,0,0,0,0,1.0,1,0,0,0,0,0,0,0,0.0,0,0,0,3,Work,1100000,1,7000000,Other,0,,2.25,Marginal Security,0
1487,cauca,bolivar,19100,5,0.0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,1,0.0,0,0,0,3,Government assistance,345000,1,7500000,"Purchase of assets (house, apartment, car, motorcycle, household appliances, etc.)",0,,2.25,Marginal Security,0
1488,cauca,bolivar,19100,5,0.0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,1,0.0,0,0,0,2,Work,500000,0,,,0,,2.0,Marginal Security,0
1489,cauca,timbiqui,19809,5,0.0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,1,0.0,0,0,0,1,"Other (income, chance, inheritance...)",450000,0,,,0,,3.25,Moderate Insecurity,1
1735,cauca,bolivar,19100,5,0.0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,1,0.0,0,0,0,1,Work,700000,0,,,0,,2.25,Marginal Security,0
1736,cauca,timbiqui,19809,5,0.0,0,0,0,0,0,0,0,0,1.0,1,0,0,0,0,0,0,0,0.0,0,0,0,2,Work,1200000,1,3000000,Other,0,,2.5,Moderate Insecurity,1
1737,cauca,timbiqui,19809,5,0.0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,1,0.0,0,0,0,1,Work,400000,0,,,1,1000000,3.25,Moderate Insecurity,1
