,department,municipality,postal_code,household_size,organization_assistance,org__other,org__productive_support _social_program,org__education,org__non_food_products,org__health_benefits,org__basket_bonus_cupon_for_food,org__in_kind_food,org__money,government_assistance,gov__other,gov__productive_support _social_program,gov__education,gov__non_food_products,gov__health_benefits,gov__basket_bonus_cupon_for_food,gov__in_kind_food,gov__money,wfp_assistance,wfp__cash,wfp__bonus_coupon,wfp__in_species,num_person_income,income_source,total_income,has_debt,debt_amount,debt_reason,has_saved_money,ammount_saved,cari,cari_category,cari_insecurity
4,huila,neiva,41001,14,0.0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,1,0.0,0,0,0,5,Work,5330000,1,99,Other,0,,1.5,Marginal Security,0
9,huila,saladoblanco,41660,13,0.0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,1,0.0,0,0,0,6,Work,2000000,0,,,0,,2.5,Moderate Insecurity,1
39,huila,pitalito,41551,11,0.0,0,0,0,0,0,0,0,0,1.0,0,0,1,0,0,0,0,0,0.0,0,0,0,4,Work,1000000,1,5000000,Cover health expenses,0,,2.5,Moderate Insecurity,1
58,huila,neiva,41001,10,0.0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,1,0.0,0,0,0,1,Work,1500000,0,,,0,,2.25,Marginal Security,0
59,huila,neiva,41001,10,0.0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,1,0.0,0,0,0,1,Work,1500000,0,,,0,,2.25,Marginal Security,0
60,huila,neiva,41001,10,0.0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,1,0.0,0,0,0,1,Work,1500000,0,,,0,,2.25,Marginal Security,0
86,huila,saladoblanco,41660,10,0.0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,1,0.0,0,0,0,5,Work,300000,1,99,Buy productive inputs,0,,2.5,Moderate Insecurity,1
156,huila,garzon,41298,9,0.0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,1,0.0,0,0,0,2,Work,1500000,1,2500000,Cover health expenses,0,,2.25,Marginal Security,0
322,huila,saladoblanco,41660,8,0.0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,1,0.0,0,0,0,3,Work,800000,1,2000000,"Purchase of assets (house, apartment, car, motorcycle, household appliances, etc.)",0,,3.5,Severe Insecurity,1
323,huila,saladoblanco,41660,8,0.0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,1,0.0,0,0,0,2,Work,1200000,0,,,0,,2.0,Marginal Security,0
409,huila,neiva,41001,7,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,1,Work,1200000,1,3000000,"Purchase of assets (house, apartment, car, motorcycle, household appliances, etc.)",0,,2.5,Moderate Insecurity,1
410,huila,neiva,41001,7,0.0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,1,1,0.0,0,0,0,3,Work, ,0,,,1,400000,2.5,Moderate Insecurity,1
411,huila,neiva,41001,7,0.0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,1,1,0.0,0,0,0,3,Work, ,0,,,1,400000,2.5,Moderate Insecurity,1
412,huila,neiva,41001,7,0.0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,1,1,0.0,0,0,0,3,Work, ,0,,,1,400000,2.5,Moderate Insecurity,1
413,huila,neiva,41001,7,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,3,Pension,3000000,1,330000,"Purchase of assets (house, apartment, car, motorcycle, household appliances, etc.)",1,180000,2.5,Moderate Insecurity,1
414,huila,pitalito,41551,7,0.0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,1,0.0,0,0,0,3,Work,460000,1,10000000,Other,0,,3.0,Moderate Insecurity,1
470,huila,neiva,41001,7,0.0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,1,0.0,0,0,0,2,Work,1500000,1,16000000,Buy productive inputs,0,,2.25,Marginal Security,0
471,huila,neiva,41001,7,0.0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,1,0.0,0,0,0,7,Work, ,1,80000000,Buy productive inputs,1,99,1.0,Secure,0
472,huila,neiva,41001,7,0.0,0,0,0,0,0,0,0,0,1.0,0,0,0,1,0,0,0,1,0.0,0,0,0,3,Work,1920000,1,2700000,Buy food,0,,2.25,Marginal Security,0
473,huila,neiva,41001,7,0.0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,1,0,0,0.0,0,0,0,1,Work,900000,0,,,0,,2.75,Moderate Insecurity,1
589,huila,garzon,41298,7,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,3,Work,1500000,1,200000,Buy food,0,,2.5,Moderate Insecurity,1
590,huila,garzon,41298,7,0.0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,1,0.0,0,0,0,4,Work,800000,1,4000000,"Purchase of assets (house, apartment, car, motorcycle, household appliances, etc.)",0,,1.75,Marginal Security,0
591,huila,garzon,41298,7,0.0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,1,0.0,0,0,0,2,Work,700000,1,4000000,Other,0,,2.25,Marginal Security,0
592,huila,garzon,41298,7,0.0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,1,0.0,0,0,0,2,Work,630000,0,,,0,,2.75,Moderate Insecurity,1
593,huila,saladoblanco,41660,7,0.0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,1,0.0,0,0,0,3,Work,900000,0,,,1,300000,1.5,Marginal Security,0
