,department,municipality,postal_code,household_size,organization_assistance,org__other,org__productive_support _social_program,org__education,org__non_food_products,org__health_benefits,org__basket_bonus_cupon_for_food,org__in_kind_food,org__money,government_assistance,gov__other,gov__productive_support _social_program,gov__education,gov__non_food_products,gov__health_benefits,gov__basket_bonus_cupon_for_food,gov__in_kind_food,gov__money,wfp_assistance,wfp__cash,wfp__bonus_coupon,wfp__in_species,num_person_income,income_source,total_income,has_debt,debt_amount,debt_reason,has_saved_money,ammount_saved,cari,cari_category,cari_insecurity
13,la_guajira,distraccion,44098,12,0.0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,1,0.0,0,0,0,2,Work,600000,1,4000000,Buy productive inputs,0,,4.0,Severe Insecurity,1
14,la_guajira,distraccion,44098,12,0.0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,1,0.0,0,0,0,2,Work,600000,1,4000000,Buy productive inputs,0,,4.0,Severe Insecurity,1
15,la_guajira,riohacha,44001,12,0.0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,1,0.0,0,0,0,4,Work,200000,1,109320,Other,0,,3.5,Severe Insecurity,1
16,la_guajira,riohacha,44001,12,0.0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,1,0.0,0,0,0,4,Work,200000,1,109320,Other,0,,3.5,Severe Insecurity,1
32,la_guajira,riohacha,44001,11,0.0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,1,0.0,0,0,0,2,Work,1100000,0,,,0,,2.25,Marginal Security,0
85,la_guajira,fonseca,44279,10,0.0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,1,0.0,0,0,0,1,Work,400000,0,,,0,,3.75,Severe Insecurity,1
107,la_guajira,riohacha,44001,9,0.0,0,0,0,0,0,0,0,0,1.0,0,0,1,0,0,0,1,0,0.0,0,0,0,3,Work,700000,1,4000000,"Purchase of assets (house, apartment, car, motorcycle, household appliances, etc.)",0,,3.25,Moderate Insecurity,1
108,la_guajira,riohacha,44001,9,0.0,0,0,0,0,0,0,0,0,1.0,0,0,1,0,0,0,1,0,0.0,0,0,0,3,Work,700000,1,4000000,"Purchase of assets (house, apartment, car, motorcycle, household appliances, etc.)",0,,3.25,Moderate Insecurity,1
109,la_guajira,riohacha,44001,9,0.0,0,0,0,0,0,0,0,0,1.0,0,0,1,0,0,0,1,0,0.0,0,0,0,3,Work,700000,1,4000000,"Purchase of assets (house, apartment, car, motorcycle, household appliances, etc.)",0,,3.25,Moderate Insecurity,1
110,la_guajira,riohacha,44001,9,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,3,Work,400000,1,600000,"Purchase of assets (house, apartment, car, motorcycle, household appliances, etc.)",0,,2.75,Moderate Insecurity,1
