,department,municipality,postal_code,household_size,organization_assistance,org__other,org__productive_support _social_program,org__education,org__non_food_products,org__health_benefits,org__basket_bonus_cupon_for_food,org__in_kind_food,org__money,government_assistance,gov__other,gov__productive_support _social_program,gov__education,gov__non_food_products,gov__health_benefits,gov__basket_bonus_cupon_for_food,gov__in_kind_food,gov__money,wfp_assistance,wfp__cash,wfp__bonus_coupon,wfp__in_species,num_person_income,income_source,total_income,has_debt,debt_amount,debt_reason,has_saved_money,ammount_saved,cari,cari_category,cari_insecurity
30,magdalena,santa_marta,47001,11,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,8,Pension,1030000,0,,,0,,1.75,Marginal Security,0
31,magdalena,santa_marta,47001,11,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,8,Pension,1030000,0,,,0,,1.75,Marginal Security,0
53,magdalena,santa_marta,47001,10,0.0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,1,0.0,0,0,0,6,Pension,2500000,1,1500000,Buy food,0,,2.5,Moderate Insecurity,1
54,magdalena,santa_marta,47001,10,0.0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,1,0.0,0,0,0,6,Pension,2500000,1,1500000,Buy food,0,,2.5,Moderate Insecurity,1
55,magdalena,santa_marta,47001,10,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,4,Pension,1000000,1,99,Other,0,,2.25,Marginal Security,0
56,magdalena,santa_marta,47001,10,0.0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,1,0.0,0,0,0,4,Work,1200000,1,1200000,ns_nr__strong_e__no_leer__strong_,0,,2.25,Marginal Security,0
57,magdalena,santa_marta,47001,10,0.0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,1,0.0,0,0,0,4,Work,1200000,1,1200000,ns_nr__strong_e__no_leer__strong_,0,,2.25,Marginal Security,0
69,magdalena,santa_marta,47001,10,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,6,Work,1000000,1,1000000,Buy food,0,,3.75,Severe Insecurity,1
105,magdalena,fundacion,47288,9,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,1,Work,300000,0,,,0,,3.5,Severe Insecurity,1
106,magdalena,santa_marta,47001,9,0.0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,1,0.0,0,0,0,2,Work,680000,1,105000,Other,0,,2.75,Moderate Insecurity,1
154,magdalena,pedraza,47541,9,0.0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,1,0.0,0,0,0,3,Work,804000,1,40000000,Other,0,,2.75,Moderate Insecurity,1
194,magdalena,santa_marta,47001,8,0.0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,1,0.0,0,0,0,2,Work,180000,0,,,0,,3.5,Severe Insecurity,1
195,magdalena,santa_marta,47001,8,0.0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,1,0.0,0,0,0,2,Work,300000,0,,,0,,3.25,Moderate Insecurity,1
196,magdalena,santa_marta,47001,8,0.0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,1,0.0,0,0,0,2,Work,300000,0,,,0,,3.25,Moderate Insecurity,1
197,magdalena,santa_marta,47001,8,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,2,Work,750000,0,,,0,,3.25,Moderate Insecurity,1
198,magdalena,santa_marta,47001,8,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,1,Work, ,1,1000000,"Purchase of assets (house, apartment, car, motorcycle, household appliances, etc.)",0,,2.5,Moderate Insecurity,1
199,magdalena,santa_marta,47001,8,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,1,Work, ,1,1000000,"Purchase of assets (house, apartment, car, motorcycle, household appliances, etc.)",0,,2.5,Moderate Insecurity,1
200,magdalena,santa_marta,47001,8,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,5,Pension,1000000,0,,,0,,3.0,Moderate Insecurity,1
201,magdalena,santa_marta,47001,8,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,4,Work,5000000,1,5000000,Buy productive inputs,0,,1.5,Marginal Security,0
250,magdalena,santa_marta,47001,8,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,1,Work,1200000,0,,,0,,1.75,Marginal Security,0
395,magdalena,fundacion,47288,7,0.0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,1,0.0,0,0,0,2,Work,1000000,0,,,0,,2.0,Marginal Security,0
396,magdalena,santa_marta,47001,7,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,4,Work,3000000,1,2000000,Pay rent or house rent,0,,2.25,Marginal Security,0
397,magdalena,santa_marta,47001,7,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,4,Work,3000000,1,2000000,Pay rent or house rent,0,,2.25,Marginal Security,0
398,magdalena,santa_marta,47001,7,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,5,Pension,4000000,0,,,0,,2.75,Moderate Insecurity,1
399,magdalena,santa_marta,47001,7,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,5,Pension,4000000,0,,,0,,2.75,Moderate Insecurity,1
400,magdalena,santa_marta,47001,7,0.0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,1,0.0,0,0,0,1,Remittances from migrants or help from family/friends,600000,1,1000000,Buy productive inputs,0,,2.5,Moderate Insecurity,1
401,magdalena,santa_marta,47001,7,0.0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,1,0.0,0,0,0,2,Work,1120000,0,,,0,,3.0,Moderate Insecurity,1
402,magdalena,santa_marta,47001,7,0.0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,1,0.0,0,0,0,2,Work,1120000,0,,,0,,3.0,Moderate Insecurity,1
