,department,municipality,postal_code,household_size,organization_assistance,org__other,org__productive_support _social_program,org__education,org__non_food_products,org__health_benefits,org__basket_bonus_cupon_for_food,org__in_kind_food,org__money,government_assistance,gov__other,gov__productive_support _social_program,gov__education,gov__non_food_products,gov__health_benefits,gov__basket_bonus_cupon_for_food,gov__in_kind_food,gov__money,wfp_assistance,wfp__cash,wfp__bonus_coupon,wfp__in_species,num_person_income,income_source,total_income,has_debt,debt_amount,debt_reason,has_saved_money,ammount_saved,cari,cari_category,cari_insecurity
20,narino,pasto,52001,12,0.0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,1,0,0.0,0,0,0,10,Work,4000000,1,2500000,"Cover basic services (water, electricity)",1,200000,2.5,Moderate Insecurity,1
149,narino,pasto,52001,9,0.0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,1,0.0,0,0,0,5,Work,2500000,0,,,0,,2.0,Marginal Security,0
150,narino,san_andres_de_tumaco,52835,9,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,1,Work,1000000,0,,,0,,3.0,Moderate Insecurity,1
151,narino,san_andres_de_tumaco,52835,9,0.0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,1,0.0,0,0,0,1,Work,150000,1,4000000,Cover health expenses,0,,4.0,Severe Insecurity,1
152,narino,san_andres_de_tumaco,52835,9,0.0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,1,0.0,0,0,0,2,Work,250000,1,4000000,"Cover basic services (water, electricity)",0,,3.5,Severe Insecurity,1
317,narino,pasto,52001,8,0.0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,1,0.0,0,0,0,5,Work,900000,0,,,0,,2.5,Moderate Insecurity,1
318,narino,san_andres_de_tumaco,52835,8,0.0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,1,0.0,0,0,0,2,Work,1500000,1,10000000,Other,0,,2.5,Moderate Insecurity,1
319,narino,sandona,52683,8,0.0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,1,0.0,0,0,0,1,Work,1080000,1,3000000,Buy productive inputs,0,,2.0,Marginal Security,0
566,narino,aldana,52022,7,0.0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,1,0.0,0,0,0,2,Work,800000,0,,,1,3000000,1.75,Marginal Security,0
567,narino,pasto,52001,7,0.0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,1,0.0,0,0,0,3,Work,800000,0,,,0,,3.25,Moderate Insecurity,1
568,narino,pasto,52001,7,0.0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,1,0,0.0,0,0,0,4,Work,3000000,0,,,1,136000,2.25,Marginal Security,0
569,narino,pasto,52001,7,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,2,"Other (income, chance, inheritance...)",1000000,1,4000000,"Cover basic services (water, electricity)",0,,2.25,Marginal Security,0
570,narino,pasto,52001,7,0.0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,1,0,0.0,0,0,0,5,Work,1200000,1,20000000,Other,1,3000000,1.5,Marginal Security,0
571,narino,pasto,52001,7,0.0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,1,0,0.0,0,0,0,3,Work,500000,0,,,0,,2.75,Moderate Insecurity,1
572,narino,pasto,52001,7,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,2,Work,2000000,1,3000000,Other,0,,2.0,Marginal Security,0
573,narino,pasto,52001,7,0.0,0,0,0,0,0,0,0,0,1.0,1,0,0,0,0,0,0,0,0.0,0,0,0,2,Work,800000,1,362000,Other,0,,3.75,Severe Insecurity,1
574,narino,pasto,52001,7,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,3,Work,200000,1,400000,Buy food,0,,4.0,Severe Insecurity,1
575,narino,san_andres_de_tumaco,52835,7,0.0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,1,0.0,0,0,0,2,Work,1100000,1,2000000,"Cover basic services (water, electricity)",0,,2.5,Moderate Insecurity,1
576,narino,san_andres_de_tumaco,52835,7,0.0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,1,0.0,0,0,0,0,Work,180000,1,600000,"Cover basic services (water, electricity)",0,,3.75,Severe Insecurity,1
577,narino,sandona,52683,7,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,2,Work,150000,1,2000000,Other,0,,3.5,Severe Insecurity,1
1087,narino,aldana,52022,6,0.0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,1,0.0,0,0,0,5,Work,500000,1,10000000,Pay school or education expenses,0,,2.75,Moderate Insecurity,1
1088,narino,aldana,52022,6,0.0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,1,0.0,0,0,0,3,Work,1000000,1,20000000,Buy productive inputs,1,500000,2.25,Marginal Security,0
1089,narino,pasto,52001,6,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,4,Work,6000000,0,,,1,3000000,1.5,Marginal Security,0
1090,narino,pasto,52001,6,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,2,Work,2500000,1,100000000,"Purchase of assets (house, apartment, car, motorcycle, household appliances, etc.)",0,,1.0,Secure,0
1091,narino,pasto,52001,6,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,3,Work,3500000,0,,,0,,1.5,Marginal Security,0
1092,narino,pasto,52001,6,0.0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,1,0.0,0,0,0,2,Pension,2000000,0,,,1,300000,1.75,Marginal Security,0
1093,narino,pasto,52001,6,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,2,Pension,800000,0,,,0,,2.5,Moderate Insecurity,1
1094,narino,pasto,52001,6,0.0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,1,0.0,0,0,0,3,Work,2000000,0,,,0,,2.25,Marginal Security,0
1095,narino,pasto,52001,6,0.0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,1,0.0,0,0,0,4,Government assistance,700000,0,,,0,,2.25,Marginal Security,0
1096,narino,pasto,52001,6,0.0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,1,0.0,0,0,0,4,Work,700000,0,,,1,500000,1.5,Marginal Security,0
1097,narino,pasto,52001,6,0.0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,1,0.0,0,0,0,4,Work,600000,0,,,0,,2.0,Marginal Security,0
1098,narino,pasto,52001,6,0.0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,1,0.0,0,0,0,1,Work,850000,1,1150000,Other,0,,2.25,Marginal Security,0
1099,narino,pasto,52001,6,0.0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,1,0.0,0,0,0,3,Work,800000,1,5000000,Buy food,0,,2.5,Moderate Insecurity,1
1100,narino,pasto,52001,6,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,2,Work,800000,0,,,0,,4.0,Severe Insecurity,1
1101,narino,pasto,52001,6,0.0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,1,0.0,0,0,0,2,Work,2000000,1,600000,Other,0,,2.0,Marginal Security,0
1102,narino,pasto,52001,6,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,4,Work,1000000,1,7000000,Other,1,120000,2.5,Moderate Insecurity,1
1103,narino,pasto,52001,6,0.0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,1,0.0,0,0,0,3,Work,400000,1,3000000,"Purchase of assets (house, apartment, car, motorcycle, household appliances, etc.)",0,,3.5,Severe Insecurity,1
1104,narino,pasto,52001,6,0.0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,1,0.0,0,0,0,4,Work,4000000,1,2500000,Pay rent or house rent,1,1200000,2.25,Marginal Security,0
1105,narino,pasto,52001,6,0.0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,1,0.0,0,0,0,3,Pension,1500000,0,,,1,20000000,1.5,Marginal Security,0
1106,narino,san_andres_de_tumaco,52835,6,0.0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,1,0.0,0,0,0,2,Work,800000,0,,,0,,2.5,Moderate Insecurity,1
