,department,municipality,postal_code,household_size,organization_assistance,org__other,org__productive_support _social_program,org__education,org__non_food_products,org__health_benefits,org__basket_bonus_cupon_for_food,org__in_kind_food,org__money,government_assistance,gov__other,gov__productive_support _social_program,gov__education,gov__non_food_products,gov__health_benefits,gov__basket_bonus_cupon_for_food,gov__in_kind_food,gov__money,wfp_assistance,wfp__cash,wfp__bonus_coupon,wfp__in_species,num_person_income,income_source,total_income,has_debt,debt_amount,debt_reason,has_saved_money,ammount_saved,cari,cari_category,cari_insecurity
113,caldas,manizales,17001,9,0.0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,1,0.0,0,0,0,3,Work,2000000,0,,,1,400000,1.75,Marginal Security,0
114,caldas,manizales,17001,9,0.0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,1,0.0,0,0,0,3,Work,2000000,0,,,1,400000,1.75,Marginal Security,0
212,caldas,manizales,17001,8,0.0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,1,0.0,0,0,0,3,Work,600000,1,390000,Cover health expenses,0,,3.0,Moderate Insecurity,1
213,caldas,manizales,17001,8,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,3,Pension,2500000,1,1200000,Pay school or education expenses,0,,1.75,Marginal Security,0
214,caldas,manizales,17001,8,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,4,Work,1600000,0,,,0,,2.25,Marginal Security,0
215,caldas,manizales,17001,8,0.0,0,0,0,0,0,0,0,0,1.0,1,0,0,0,0,0,0,0,0.0,0,0,0,3,Pension, ,1,250000,Other,1,300000,1.5,Marginal Security,0
216,caldas,riosucio,17614,8,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,1,Work,200000,1,1000000,Buy food,0,,3.25,Moderate Insecurity,1
263,caldas,aranzazu,17050,8,0.0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,1,0.0,0,0,0,1,Work,1400000,ns_nr,,,0,,1.0,Secure,0
264,caldas,manizales,17001,8,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,4,Work,3500000,0,,,1,500000,2.0,Marginal Security,0
423,caldas,manizales,17001,7,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,2,Pension,2000000,1,100000000,Other,0,,2.25,Marginal Security,0
486,caldas,manizales,17001,7,0.0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,1,0.0,0,0,0,4,Work,3300000,0,,,1,500000,1.75,Marginal Security,0
795,caldas,aranzazu,17050,6,0.0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,1,0.0,0,0,0,4,Work,3500000,1,20000000,Pay school or education expenses,1,1000000,1.25,Secure,0
796,caldas,aranzazu,17050,6,0.0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,1,0.0,0,0,0,2,Work,130000,0,,,0,,3.25,Moderate Insecurity,1
797,caldas,aranzazu,17050,6,0.0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,1,0.0,0,0,0,2,Work,400000,1,3000000,Other,0,,1.75,Marginal Security,0
798,caldas,manizales,17001,6,0.0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,1,0.0,0,0,0,6,Work,200000,0,,,0,,3.5,Severe Insecurity,1
799,caldas,manizales,17001,6,0.0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,1,0.0,0,0,0,6,Work,200000,0,,,0,,3.5,Severe Insecurity,1
800,caldas,manizales,17001,6,0.0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,1,0.0,0,0,0,1,Work,500000,0,,,1,20000,3.5,Severe Insecurity,1
801,caldas,manizales,17001,6,0.0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,1,0.0,0,0,0,1,Work,500000,0,,,1,20000,3.5,Severe Insecurity,1
802,caldas,manizales,17001,6,0.0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0.0,0,0,0,4,Work,1000000,0,,,1,15000,2.0,Marginal Security,0
