,department,municipality,postal_code,household_size,organization_assistance,org__other,org__productive_support _social_program,org__education,org__non_food_products,org__health_benefits,org__basket_bonus_cupon_for_food,org__in_kind_food,org__money,government_assistance,gov__other,gov__productive_support _social_program,gov__education,gov__non_food_products,gov__health_benefits,gov__basket_bonus_cupon_for_food,gov__in_kind_food,gov__money,wfp_assistance,wfp__cash,wfp__bonus_coupon,wfp__in_species,num_person_income,income_source,total_income,has_debt,debt_amount,debt_reason,has_saved_money,ammount_saved,cari,cari_category,cari_insecurity
6,cesar,valledupar,20001,14,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,3,Work,1000000,1,3000000,"Purchase of assets (house, apartment, car, motorcycle, household appliances, etc.)",0,,3.5,Severe Insecurity,1
45,cesar,valledupar,20001,11,0.0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,1,0.0,0,0,0,4,Work,1200000,0,,,0,,2.75,Moderate Insecurity,1
90,cesar,bosconia,20060,10,0.0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,1,0.0,0,0,0,3,Pension,800000,0,,,0,,3.25,Moderate Insecurity,1
91,cesar,bosconia,20060,10,0.0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,1,0,0.0,0,0,0,3,Work,700000,1,4000000,"Cover basic services (water, electricity)",0,,3.25,Moderate Insecurity,1
92,cesar,la_paz,20621,10,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,1,Work,300000,0,,,0,,2.5,Moderate Insecurity,1
93,cesar,valledupar,20001,10,0.0,0,0,0,0,0,0,0,0,1.0,0,0,0,1,0,0,1,1,0.0,0,0,0,2,Work,600000,0,,,0,,2.75,Moderate Insecurity,1
161,cesar,la_paz,20621,9,0.0,0,0,0,0,0,0,0,0,1.0,0,0,0,1,0,0,0,1,0.0,0,0,0,1,Work,1000000,1,1000000,Other,0,,2.75,Moderate Insecurity,1
162,cesar,la_paz,20621,9,0.0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,1,0.0,0,0,0,2,Work,600000,0,,,0,,3.0,Moderate Insecurity,1
163,cesar,la_paz,20621,9,0.0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,1,0.0,0,0,0,1,Work,900000,0,,,0,,3.75,Severe Insecurity,1
164,cesar,valledupar,20001,9,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,4,Work,600000,0,,,0,,1.75,Marginal Security,0
