,department,municipality,postal_code,household_size,organization_assistance,org__other,org__productive_support _social_program,org__education,org__non_food_products,org__health_benefits,org__basket_bonus_cupon_for_food,org__in_kind_food,org__money,government_assistance,gov__other,gov__productive_support _social_program,gov__education,gov__non_food_products,gov__health_benefits,gov__basket_bonus_cupon_for_food,gov__in_kind_food,gov__money,wfp_assistance,wfp__cash,wfp__bonus_coupon,wfp__in_species,num_person_income,income_source,total_income,has_debt,debt_amount,debt_reason,has_saved_money,ammount_saved,cari,cari_category,cari_insecurity
33,cundinamarca,soacha,25754,11,0.0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,1,0,0,0.0,0,0,0,7,Work,3000000,0,,,0,,3.25,Moderate Insecurity,1
87,cundinamarca,suesca,25772,10,0.0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,1,0.0,0,0,0,3,Work,2500000,1,15000000,Other,0,,2.25,Marginal Security,0
112,cundinamarca,soacha,25754,9,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,4,Work,350000,0,,,0,,2.75,Moderate Insecurity,1
207,cundinamarca,soacha,25754,8,0.0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,1,0.0,0,0,0,2,Work,1700000,1,1300000,Buy food,0,,1.25,Secure,0
208,cundinamarca,soacha,25754,8,0.0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,1,0,1,0.0,0,0,0,3,Work,1240000,0,,,0,,3.75,Severe Insecurity,1
209,cundinamarca,soacha,25754,8,0.0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,1,0,1,0.0,0,0,0,3,Work,1240000,0,,,0,,3.75,Severe Insecurity,1
210,cundinamarca,soacha,25754,8,0.0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,1,0,0,0.0,0,0,0,2,Work,10000200,1,20000000,Other,0,,2.0,Marginal Security,0
415,cundinamarca,soacha,25754,7,0.0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,1,0.0,0,0,0,2,Work,2500000,0,,,0,,2.75,Moderate Insecurity,1
416,cundinamarca,soacha,25754,7,0.0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,1,0.0,0,0,0,3,Pension,2000000,0,,,0,,3.0,Moderate Insecurity,1
417,cundinamarca,soacha,25754,7,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,1,Work,1000000,0,,,0,,1.75,Marginal Security,0
418,cundinamarca,soacha,25754,7,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,1,Work,1000000,0,,,0,,1.75,Marginal Security,0
474,cundinamarca,soacha,25754,7,0.0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,1,0,0,0.0,0,0,0,3,Work,600000,1,876000,Buy food,0,,3.5,Severe Insecurity,1
475,cundinamarca,soacha,25754,7,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,2,Work,1400000,1,5000000,Buy productive inputs,1,200000,3.75,Severe Insecurity,1
476,cundinamarca,soacha,25754,7,0.0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,1,0.0,0,0,0,2,Work,1500000,1,10000000,Other,0,,2.25,Marginal Security,0
477,cundinamarca,soacha,25754,7,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,2,Work,800000,0,,,0,,2.5,Moderate Insecurity,1
478,cundinamarca,soacha,25754,7,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,4,Work,5640000,0,,,0,,1.25,Secure,0
594,cundinamarca,funza,25286,7,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,3,Work,4000000,1,50000000,Other,0,,2.0,Marginal Security,0
595,cundinamarca,funza,25286,7,0.0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,1,0.0,0,0,0,2,Work,2500000,1,7000000,"Purchase of assets (house, apartment, car, motorcycle, household appliances, etc.)",0,,2.5,Moderate Insecurity,1
596,cundinamarca,sesquile,25736,7,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,2,Work,500000,0,,,0,,3.0,Moderate Insecurity,1
597,cundinamarca,sopo,25758,7,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,3,Work,1500000,1,7000000,"Purchase of assets (house, apartment, car, motorcycle, household appliances, etc.)",1,100000,2.0,Marginal Security,0
598,cundinamarca,sopo,25758,7,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,3,Work,3000000,1,850000,Buy productive inputs,0,,1.5,Marginal Security,0
783,cundinamarca,soacha,25754,6,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,2,Work,500000,0,,,0,,2.25,Marginal Security,0
784,cundinamarca,soacha,25754,6,0.0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,1,0.0,0,0,0,2,Work,1500000,1,200000,Cover health expenses,0,,2.25,Marginal Security,0
920,cundinamarca,soacha,25754,6,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,6,Work,1500000,0,,,0,,1.5,Marginal Security,0
921,cundinamarca,soacha,25754,6,0.0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,1,0.0,0,0,0,1,Work,600000,0,,,0,,2.75,Moderate Insecurity,1
922,cundinamarca,soacha,25754,6,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,2,Work,1000000,0,,,0,,3.5,Severe Insecurity,1
923,cundinamarca,soacha,25754,6,0.0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,1,0.0,0,0,0,3,Work,950000,0,,,0,,2.25,Marginal Security,0
924,cundinamarca,soacha,25754,6,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,1,Work,2000000,1,50000,Buy food,0,,2.5,Moderate Insecurity,1
925,cundinamarca,soacha,25754,6,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,2,Work,1500000,0,,,0,,2.5,Moderate Insecurity,1
926,cundinamarca,soacha,25754,6,0.0,0,0,0,0,0,0,0,0,1.0,0,0,1,0,0,0,0,0,0.0,0,0,0,3,Work,1000000,0,,,1,99,2.75,Moderate Insecurity,1
927,cundinamarca,soacha,25754,6,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,2,Work,6000000,0,,,1,3000000,1.0,Secure,0
928,cundinamarca,soacha,25754,6,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,3,Work,2000000,0,,,1,4000000,1.5,Marginal Security,0
929,cundinamarca,soacha,25754,6,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,3,Work,2000000,0,,,1,4000000,1.5,Marginal Security,0
930,cundinamarca,soacha,25754,6,0.0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,1,0.0,0,0,0,1,"Other (income, chance, inheritance...)",600000,1,8000000,"Cover basic services (water, electricity)",0,,2.75,Moderate Insecurity,1
