,cari_category,municipality,cost_food_total,household_size,government_assistance
0,Marginal Security,8558,495000.0,22,0.8571428571428571
1,Marginal Security,abrego,503900.0,54,0.625
2,Marginal Security,acacias,506500.0,109,0.5294117647058824
3,Marginal Security,aguazul,534000.0,92,0.5172413793103449
4,Marginal Security,aldana,687500.0,44,0.5
5,Marginal Security,alvarado,488500.0,48,0.8571428571428571
6,Marginal Security,aranzazu,377600.0,42,0.6153846153846154
7,Marginal Security,arauca,409000.0,124,0.7317073170731707
8,Marginal Security,ariguani,448800.0,85,0.6
9,Marginal Security,armenia,435500.0,188,0.3888888888888889
10,Marginal Security,barrancabermeja,593750.0,73,0.45454545454545453
11,Marginal Security,barranquilla,645000.0,569,0.4444444444444444
12,Marginal Security,bogota__d_c_,675500.0,739,0.3316831683168317
13,Marginal Security,bolivar,368000.0,89,0.9130434782608695
14,Marginal Security,bosconia,650000.0,62,0.9444444444444444
15,Marginal Security,bucaramanga,612600.0,437,0.4444444444444444
16,Marginal Security,caicedo,358000.0,88,0.76
17,Marginal Security,calarca,323300.0,69,0.5909090909090909
18,Marginal Security,caldas,435250.0,39,0.7142857142857143
19,Marginal Security,cali,550000.0,496,0.363013698630137
20,Marginal Security,candelaria,446000.0,50,0.9230769230769231
21,Marginal Security,cartagena_de_indias,692000.0,382,0.5238095238095238
22,Marginal Security,cartagena_del_chaira,491000.0,73,0.7777777777777778
23,Marginal Security,cartago,472800.0,152,0.5111111111111111
24,Marginal Security,chinu,345000.0,44,0.6923076923076923
25,Marginal Security,coloso,458000.0,23,1.0
26,Marginal Security,combita,417500.0,78,0.6818181818181818
27,Marginal Security,cordoba,238000.0,30,0.45454545454545453
28,Marginal Security,corozal,388800.0,50,0.9333333333333333
29,Marginal Security,cumaribo,650000.0,130,0.44
30,Marginal Security,dibulla,638000.0,79,0.8947368421052632
31,Marginal Security,distraccion,605750.0,19,0.75
32,Marginal Security,dosquebradas,637000.0,70,0.391304347826087
33,Marginal Security,el_carmen_de_bolivar,416250.0,72,0.7894736842105263
34,Marginal Security,el_carmen_de_chucuri,684900.0,61,0.7368421052631579
35,Marginal Security,el_guamo,582000.0,83,0.8333333333333334
36,Marginal Security,florencia,564000.0,179,0.6226415094339622
37,Marginal Security,fonseca,377000.0,60,0.875
38,Marginal Security,fresno,604500.0,57,0.6666666666666666
39,Marginal Security,fundacion,454000.0,93,0.9565217391304348
40,Marginal Security,funza,802500.0,123,0.5294117647058824
41,Marginal Security,gacheta,560000.0,57,0.6666666666666666
42,Marginal Security,garzon,560800.0,93,0.7083333333333334
43,Marginal Security,ginebra,480500.0,119,0.5526315789473685
44,Marginal Security,girardota,448500.0,70,0.391304347826087
45,Marginal Security,guacari,558000.0,120,0.3939393939393939
46,Marginal Security,ibague,541000.0,290,0.5733333333333334
47,Marginal Security,istmina,506500.0,85,0.9
48,Marginal Security,la_paz,420000.0,42,0.6153846153846154
49,Marginal Security,leticia,654000.0,257,0.5932203389830508
50,Marginal Security,los_cordobas,420000.0,15,0.8
51,Marginal Security,malambo,585000.0,111,0.7692307692307693
52,Marginal Security,manizales,384550.0,223,0.5283018867924528
53,Marginal Security,mariquita,463900.0,70,0.75
54,Marginal Security,marsella,314000.0,50,0.5
55,Marginal Security,medellin,500500.0,454,0.3064516129032258
56,Marginal Security,medio_atrato,227000.0,13,0.42857142857142855
57,Marginal Security,mitu,639750.0,90,0.45
58,Marginal Security,mocoa,518000.0,158,0.6041666666666666
59,Marginal Security,mongua,622000.0,46,0.7142857142857143
60,Marginal Security,montenegro,562500.0,80,0.55
61,Marginal Security,monteria,522000.0,276,0.8360655737704918
62,Marginal Security,morelia,406000.0,40,0.38461538461538464
63,Marginal Security,neiva,640000.0,297,0.6265060240963856
64,Marginal Security,nunchia,700000.0,43,0.6153846153846154
65,Marginal Security,ocana,360000.0,113,0.84375
66,Marginal Security,pailitas,732650.0,47,0.7857142857142857
67,Marginal Security,pasto,588000.0,364,0.5463917525773195
68,Marginal Security,paz_de_ariporo,430000.0,84,0.92
69,Marginal Security,pedraza,558100.0,35,0.7692307692307693
70,Marginal Security,pereira,490000.0,173,0.4074074074074074
71,Marginal Security,piedecuesta,572000.0,81,0.5714285714285714
72,Marginal Security,pitalito,406000.0,84,0.6666666666666666
73,Marginal Security,popayan,600000.0,293,0.5903614457831325
74,Marginal Security,puerto_berrio,492500.0,83,0.39285714285714285
75,Marginal Security,puerto_gaitan,889500.0,87,0.7391304347826086
76,Marginal Security,puerto_guzman,343000.0,54,0.7647058823529411
77,Marginal Security,puerto_leguizamo,563000.0,56,0.9230769230769231
78,Marginal Security,puerto_libertador,310000.0,65,0.9411764705882353
79,Marginal Security,puerto_narino,662500.0,50,0.8333333333333334
80,Marginal Security,puerto_rondon,483000.0,32,0.75
81,Marginal Security,quibdo,368000.0,120,0.45
82,Marginal Security,riohacha,543500.0,205,0.7254901960784313
83,Marginal Security,riosucio,317750.0,103,0.525
84,Marginal Security,rosas,683000.0,49,0.4666666666666667
85,Marginal Security,sabanagrande,364000.0,57,0.6666666666666666
86,Marginal Security,saladoblanco,489000.0,45,0.6923076923076923
87,Marginal Security,san_andres,960000.0,421,0.3391304347826087
88,Marginal Security,san_andres_de_tumaco,590600.0,30,0.8
89,Marginal Security,san_jose_de_cucuta,562750.0,398,0.7181818181818181
90,Marginal Security,san_lorenzo,388500.0,58,0.85
91,Marginal Security,san_martin,374000.0,63,0.6190476190476191
92,Marginal Security,san_miguel,637000.0,48,0.7142857142857143
93,Marginal Security,san_vicente_del_caguan,310500.0,44,0.9
94,Marginal Security,sandona,596000.0,83,0.7272727272727273
95,Marginal Security,santa_marta,568500.0,265,0.4098360655737705
96,Marginal Security,santa_rosa_de_cabal,349500.0,56,0.7222222222222222
97,Marginal Security,santafe_de_antioquia,546000.0,52,0.35714285714285715
98,Marginal Security,santiago,778000.0,22,0.8
99,Marginal Security,saravena,326600.0,34,0.6
100,Marginal Security,sardinata,701450.0,47,0.9
101,Marginal Security,sesquile,580000.0,68,0.6190476190476191
102,Marginal Security,sincelejo,530000.0,110,0.8518518518518519
103,Marginal Security,soacha,642000.0,335,0.44329896907216493
104,Marginal Security,sogamoso,613500.0,86,0.46153846153846156
105,Marginal Security,sonson,470000.0,87,0.52
106,Marginal Security,sopo,759000.0,101,0.09523809523809523
107,Marginal Security,sucre,492000.0,39,1.0
108,Marginal Security,suesca,838000.0,93,0.6666666666666666
109,Marginal Security,sutatenza,474100.0,56,0.7777777777777778
110,Marginal Security,tame,481000.0,53,0.38461538461538464
111,Marginal Security,timbiqui,771000.0,34,0.8333333333333334
112,Marginal Security,tunja,617200.0,172,0.2727272727272727
113,Marginal Security,turbaco,444900.0,106,0.7931034482758621
114,Marginal Security,valledupar,583000.0,258,0.609375
115,Marginal Security,villamaria,412000.0,49,0.3888888888888889
