,department,municipality,postal_code,household_size,organization_assistance,org__other,org__productive_support _social_program,org__education,org__non_food_products,org__health_benefits,org__basket_bonus_cupon_for_food,org__in_kind_food,org__money,government_assistance,gov__other,gov__productive_support _social_program,gov__education,gov__non_food_products,gov__health_benefits,gov__basket_bonus_cupon_for_food,gov__in_kind_food,gov__money,wfp_assistance,wfp__cash,wfp__bonus_coupon,wfp__in_species,num_person_income,income_source,total_income,has_debt,debt_amount,debt_reason,has_saved_money,ammount_saved,cari,cari_category,cari_insecurity
8,norte_de_santander,san_jose_de_cucuta,54001,13,1.0,0,0,0,0,0,0,1,0,1.0,0,0,0,0,0,0,0,1,0.0,0,0,0,4,Work,1000000,1,20000000,Other,0,,3.75,Severe Insecurity,1
26,norte_de_santander,san_jose_de_cucuta,54001,11,0.0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,1,0.0,0,0,0,4,Work,600000,0,,,0,,2.25,Marginal Security,0
27,norte_de_santander,san_jose_de_cucuta,54001,11,0.0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,1,0.0,0,0,0,4,Work,600000,0,,,0,,2.25,Marginal Security,0
28,norte_de_santander,san_jose_de_cucuta,54001,11,0.0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,1,0.0,0,0,0,4,Work,600000,0,,,0,,2.25,Marginal Security,0
29,norte_de_santander,san_jose_de_cucuta,54001,11,0.0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,1,0.0,0,0,0,4,Work,600000,0,,,0,,2.25,Marginal Security,0
34,norte_de_santander,san_jose_de_cucuta,54001,11,0.0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,1,0.0,0,0,0,3,Remittances from migrants or help from family/friends,660000,1,7000000,Buy productive inputs,0,,3.5,Severe Insecurity,1
35,norte_de_santander,san_jose_de_cucuta,54001,11,0.0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,1,0.0,0,0,0,3,Remittances from migrants or help from family/friends,660000,1,7000000,Buy productive inputs,0,,3.5,Severe Insecurity,1
36,norte_de_santander,san_jose_de_cucuta,54001,11,0.0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,1,0.0,0,0,0,3,Remittances from migrants or help from family/friends,660000,1,7000000,Buy productive inputs,0,,3.5,Severe Insecurity,1
37,norte_de_santander,san_jose_de_cucuta,54001,11,0.0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,1,0.0,0,0,0,3,Remittances from migrants or help from family/friends,660000,1,7000000,Buy productive inputs,0,,3.5,Severe Insecurity,1
51,norte_de_santander,san_jose_de_cucuta,54001,10,0.0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,1,0.0,0,0,0,2,Work,300000,1,7000000,Buy food,0,,3.5,Severe Insecurity,1
