,department,municipality,postal_code,household_size,organization_assistance,org__other,org__productive_support _social_program,org__education,org__non_food_products,org__health_benefits,org__basket_bonus_cupon_for_food,org__in_kind_food,org__money,government_assistance,gov__other,gov__productive_support _social_program,gov__education,gov__non_food_products,gov__health_benefits,gov__basket_bonus_cupon_for_food,gov__in_kind_food,gov__money,wfp_assistance,wfp__cash,wfp__bonus_coupon,wfp__in_species,num_person_income,income_source,total_income,has_debt,debt_amount,debt_reason,has_saved_money,ammount_saved,cari,cari_category,cari_insecurity
7,putumayo,puerto_leguizamo,86573,13,0.0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,1,0.0,0,0,0,4,Work,200000,0,,,0,,3.0,Moderate Insecurity,1
19,putumayo,santiago,86760,12,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,3,Work,2250000,0,,,0,,4.0,Severe Insecurity,1
42,putumayo,mocoa,86001,11,0.0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,1,0.0,0,0,0,8,Work,1800000,1,1000000,Other,1,500000,2.25,Marginal Security,0
83,putumayo,mocoa,86001,10,0.0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,1,0.0,0,0,0,1,Work,1000000,0,,,0,,2.5,Moderate Insecurity,1
103,putumayo,puerto_leguizamo,86573,9,0.0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,1,0.0,0,0,0,2,Work,350000,0,,,0,,3.0,Moderate Insecurity,1
185,putumayo,puerto_leguizamo,86573,8,0.0,0,0,0,0,0,0,0,0,1.0,0,0,1,0,0,0,0,1,0.0,0,0,0,1,Work,555000,0,,,0,,3.0,Moderate Insecurity,1
186,putumayo,puerto_leguizamo,86573,8,1.0,0,0,0,0,0,1,0,0,1.0,0,0,0,0,0,1,1,0,0.0,0,0,0,1,Assistance from United Nations / NGOs / charitable organizations,400000,0,,,0,,3.0,Moderate Insecurity,1
187,putumayo,puerto_leguizamo,86573,8,1.0,0,0,0,0,0,1,0,0,1.0,0,0,0,0,0,1,1,0,0.0,0,0,0,1,Assistance from United Nations / NGOs / charitable organizations,400000,0,,,0,,3.0,Moderate Insecurity,1
188,putumayo,puerto_leguizamo,86573,8,0.0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,1,1,0,0.0,0,0,0,1,Work,600000,0,,,0,,2.0,Marginal Security,0
189,putumayo,puerto_leguizamo,86573,8,0.0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,1,1,0,0.0,0,0,0,1,Work,600000,0,,,0,,2.0,Marginal Security,0
246,putumayo,puerto_leguizamo,86573,8,0.0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,1,0.0,0,0,0,2,Work,1200000,1,2400000,"Cover basic services (water, electricity)",1,2000000,2.25,Marginal Security,0
247,putumayo,puerto_leguizamo,86573,8,0.0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,1,0.0,0,0,0,2,Work,1200000,1,2400000,"Cover basic services (water, electricity)",1,2000000,2.25,Marginal Security,0
312,putumayo,mocoa,86001,8,0.0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,1,0.0,0,0,0,1,Work,1500000,1,9000000,Other,0,,3.25,Moderate Insecurity,1
459,putumayo,puerto_leguizamo,86573,7,1.0,0,0,0,0,0,0,0,1,1.0,0,0,0,0,0,0,0,1,0.0,0,0,0,1,Work,1200000,1,2000000,Other,0,,2.25,Marginal Security,0
460,putumayo,puerto_leguizamo,86573,7,0.0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,1,1,0.0,0,0,0,2,Work,1000000,1,20000000,"Purchase of assets (house, apartment, car, motorcycle, household appliances, etc.)",0,,2.5,Moderate Insecurity,1
