,department,municipality,postal_code,household_size,organization_assistance,org__other,org__productive_support _social_program,org__education,org__non_food_products,org__health_benefits,org__basket_bonus_cupon_for_food,org__in_kind_food,org__money,government_assistance,gov__other,gov__productive_support _social_program,gov__education,gov__non_food_products,gov__health_benefits,gov__basket_bonus_cupon_for_food,gov__in_kind_food,gov__money,wfp_assistance,wfp__cash,wfp__bonus_coupon,wfp__in_species,num_person_income,income_source,total_income,has_debt,debt_amount,debt_reason,has_saved_money,ammount_saved,cari,cari_category,cari_insecurity
147,santander,piedecuesta,68547,9,0.0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,1,0.0,0,0,0,1,Work,1300000,1,6000000,Buy productive inputs,0,,2.5,Moderate Insecurity,1
181,santander,bucaramanga,68001,8,0.0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,1,0.0,0,0,0,5,Work,2000000,0,,,0,,2.25,Marginal Security,0
182,santander,bucaramanga,68001,8,0.0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,1,0.0,0,0,0,5,Work,2000000,0,,,0,,2.25,Marginal Security,0
183,santander,bucaramanga,68001,8,0.0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,1,0.0,0,0,0,5,Work,2000000,0,,,0,,2.25,Marginal Security,0
303,santander,barrancabermeja,68081,8,0.0,0,0,0,0,0,0,0,0,1.0,0,0,1,0,0,0,0,1,0.0,0,0,0,5,Work,700000,1,2000000,Other,0,,1.25,Secure,0
304,santander,barrancabermeja,68081,8,0.0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,1,0.0,0,0,0,2,Work,1200000,1,15000000,Other,0,,2.75,Moderate Insecurity,1
305,santander,el_carmen_de_chucuri,68235,8,0.0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,1,0.0,0,0,0,2,Work,450000,1,21000000,Buy productive inputs,0,,2.25,Marginal Security,0
306,santander,piedecuesta,68547,8,0.0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,1,0.0,0,0,0,1,Work,600000,0,,,0,,2.5,Moderate Insecurity,1
380,santander,bucaramanga,68001,7,0.0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,1,0.0,0,0,0,2,Work,600000,0,,,0,,2.25,Marginal Security,0
381,santander,bucaramanga,68001,7,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,2,Work,2200000,0,,,0,,2.25,Marginal Security,0
382,santander,bucaramanga,68001,7,0.0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,1,0.0,0,0,0,2,Work,2000000,0,,,0,,2.25,Marginal Security,0
383,santander,bucaramanga,68001,7,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,4,Pension,3000000,0,,,0,,2.5,Moderate Insecurity,1
384,santander,bucaramanga,68001,7,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,2,Work,2000000,0,,,0,,1.5,Marginal Security,0
385,santander,bucaramanga,68001,7,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,3,Work,1000000,0,,,1,1000000,2.25,Marginal Security,0
456,santander,bucaramanga,68001,7,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,2,Work,2000000,0,,,0,,2.25,Marginal Security,0
457,santander,bucaramanga,68001,7,0.0,0,0,0,0,0,0,0,0,1.0,0,0,1,0,0,0,0,1,0.0,0,0,0,2,Work,800000,1,135000,"Buy clothes, shoes",0,,2.25,Marginal Security,0
458,santander,bucaramanga,68001,7,0.0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,1,0.0,0,0,0,3,Work,3000000,0,,,1,200000,1.0,Secure,0
544,santander,piedecuesta,68547,7,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,4,Work,1800000,0,,,0,,2.0,Marginal Security,0
545,santander,piedecuesta,68547,7,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,2,Work,1200000,1,600000,Pay rent or house rent,0,,2.5,Moderate Insecurity,1
546,santander,piedecuesta,68547,7,0.0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,1,0.0,0,0,0,4,Work,2000000,0,,,0,,1.5,Marginal Security,0
717,santander,bucaramanga,68001,6,0.0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,1,0.0,0,0,0,1,Work,1000000,0,,,0,,2.5,Moderate Insecurity,1
718,santander,bucaramanga,68001,6,0.0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,1,0,0.0,0,0,0,2,The household receives no income of any kind,0,1,6000000,Buy productive inputs,0,,2.5,Moderate Insecurity,1
719,santander,bucaramanga,68001,6,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,3,Work,1500000,1,15000000,"Purchase of assets (house, apartment, car, motorcycle, household appliances, etc.)",0,,2.0,Marginal Security,0
720,santander,bucaramanga,68001,6,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,4,Work,1000000,1,2000000,Other,0,,1.75,Marginal Security,0
721,santander,bucaramanga,68001,6,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,4,Work,1000000,1,2000000,Other,0,,1.75,Marginal Security,0
722,santander,bucaramanga,68001,6,0.0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,1,0.0,0,0,0,2,Work,450000,1,2000000,"Cover basic services (water, electricity)",0,,3.0,Moderate Insecurity,1
723,santander,bucaramanga,68001,6,0.0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,1,0.0,0,0,0,2,Work,450000,1,2000000,"Cover basic services (water, electricity)",0,,3.0,Moderate Insecurity,1
724,santander,bucaramanga,68001,6,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,1,Work,800000,0,,,0,,2.25,Marginal Security,0
725,santander,bucaramanga,68001,6,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,1,Work,800000,0,,,0,,2.25,Marginal Security,0
726,santander,bucaramanga,68001,6,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,2,Work,1100000,1,700000,Buy food,0,,2.75,Moderate Insecurity,1
727,santander,bucaramanga,68001,6,0.0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,1,0.0,0,0,0,2,Work,160000,1,2000000,"Cover basic services (water, electricity)",0,,2.25,Marginal Security,0
873,santander,bucaramanga,68001,6,0.0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,1,0.0,0,0,0,2,Work,800000,0,,,0,,2.5,Moderate Insecurity,1
874,santander,bucaramanga,68001,6,0.0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,1,0.0,0,0,0,2,Work,800000,0,,,0,,2.5,Moderate Insecurity,1
875,santander,bucaramanga,68001,6,0.0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,1,0.0,0,0,0,2,Work,2800000,1,14000000,Pay school or education expenses,0,,2.0,Marginal Security,0
876,santander,bucaramanga,68001,6,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,2,Work,2000000,1,40000000,"Purchase of assets (house, apartment, car, motorcycle, household appliances, etc.)",0,,2.25,Marginal Security,0
877,santander,bucaramanga,68001,6,0.0,0,0,0,0,0,0,0,0,1.0,0,0,1,0,0,0,0,0,0.0,0,0,0,3,Work,4000000,1,100000000,"Purchase of assets (house, apartment, car, motorcycle, household appliances, etc.)",0,,1.75,Marginal Security,0
878,santander,bucaramanga,68001,6,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,5,Work,4000000,0,,,0,,1.75,Marginal Security,0
879,santander,bucaramanga,68001,6,0.0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,1,0.0,0,0,0,2,Work,1400000,1,400000,Other,0,,2.0,Marginal Security,0
880,santander,bucaramanga,68001,6,0.0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,1,0.0,0,0,0,2,Work,1500000,1,300000,Pay rent or house rent,0,,1.75,Marginal Security,0
881,santander,bucaramanga,68001,6,0.0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,1,0,0,0.0,0,0,0,2,Work,1600000,0,,,0,,2.25,Marginal Security,0
882,santander,bucaramanga,68001,6,0.0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,1,0.0,0,0,0,2,Work,1300000,1,200000,Buy food,0,,2.25,Marginal Security,0
883,santander,bucaramanga,68001,6,0.0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,1,0.0,0,0,0,2,Work,1300000,1,200000,Buy food,0,,2.25,Marginal Security,0
884,santander,bucaramanga,68001,6,0.0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,1,0.0,0,0,0,2,Work,1300000,1,200000,Buy food,0,,2.25,Marginal Security,0
1043,santander,barrancabermeja,68081,6,0.0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,1,0.0,0,0,0,4,Work,900000,0,,,0,,2.75,Moderate Insecurity,1
1044,santander,barrancabermeja,68081,6,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,1,Work,1100000,0,,,0,,2.75,Moderate Insecurity,1
1045,santander,barrancabermeja,68081,6,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,3,Work,1350000,1,6000000,Buy productive inputs,1,400000,1.75,Marginal Security,0
1046,santander,barrancabermeja,68081,6,0.0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,1,0.0,0,0,0,1,Work,1500000,0,,,0,,1.75,Marginal Security,0
1047,santander,barrancabermeja,68081,6,0.0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,1,0.0,0,0,0,4,Work,800000,1,2000000,"Purchase of assets (house, apartment, car, motorcycle, household appliances, etc.)",0,,2.5,Moderate Insecurity,1
