,department,municipality,postal_code,household_size,organization_assistance,org__other,org__productive_support _social_program,org__education,org__non_food_products,org__health_benefits,org__basket_bonus_cupon_for_food,org__in_kind_food,org__money,government_assistance,gov__other,gov__productive_support _social_program,gov__education,gov__non_food_products,gov__health_benefits,gov__basket_bonus_cupon_for_food,gov__in_kind_food,gov__money,wfp_assistance,wfp__cash,wfp__bonus_coupon,wfp__in_species,num_person_income,income_source,total_income,has_debt,debt_amount,debt_reason,has_saved_money,ammount_saved,cari,cari_category,cari_insecurity
2,sucre,sincelejo,70001,16,0.0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,1,0.0,0,0,0,3,Work,690000,0,,,0,,3.5,Severe Insecurity,1
78,sucre,corozal,70215,10,0.0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,1,0.0,0,0,0,4,Government assistance,600000,1,1200000,Buy food,0,,3.0,Moderate Insecurity,1
79,sucre,corozal,70215,10,0.0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,1,1,0.0,0,0,0,4,Work,1277500,0,,,0,,3.25,Moderate Insecurity,1
80,sucre,sincelejo,70001,10,0.0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,1,0.0,0,0,0,2,Work,300000,0,,,0,,3.5,Severe Insecurity,1
295,sucre,corozal,70215,8,0.0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,1,1,0.0,0,0,0,2,Work,300000,1,440000,Buy productive inputs,0,,2.5,Moderate Insecurity,1
296,sucre,sincelejo,70001,8,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,2,Work,200000,0,,,0,,2.75,Moderate Insecurity,1
297,sucre,sincelejo,70001,8,0.0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,1,0.0,0,0,0,3,Work,570000,1,300000,"Cover basic services (water, electricity)",0,,2.5,Moderate Insecurity,1
298,sucre,sincelejo,70001,8,0.0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,1,0.0,0,0,0,3,Work,900000,0,,,0,,1.5,Marginal Security,0
299,sucre,sincelejo,70001,8,0.0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,1,0.0,0,0,0,2,Work, ,0,,,0,,2.75,Moderate Insecurity,1
300,sucre,sincelejo,70001,8,1.0,0,0,0,0,0,0,1,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,2,Work,900000,1,600000,Buy food,0,,3.5,Severe Insecurity,1
301,sucre,sincelejo,70001,8,0.0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,1,0.0,0,0,0,2,Work,700000,0,,,0,,2.5,Moderate Insecurity,1
302,sucre,sincelejo,70001,8,0.0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,1,0.0,0,0,0,8,Work,1000000,0,,,0,,2.25,Marginal Security,0
455,sucre,sucre,70771,7,1.0,0,0,0,0,0,0,1,0,1.0,0,0,0,0,0,0,0,1,1.0,0,0,1,3,Work,340000,1,1500000,Buy food,0,,3.25,Moderate Insecurity,1
532,sucre,coloso,70204,7,0.0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,1,0,1,0.0,0,0,0,1,Work,600000,1,5000000,Other,1,300000,3.5,Severe Insecurity,1
533,sucre,coloso,70204,7,0.0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,1,0.0,0,0,0,1,Work,140000,0,,,0,,3.75,Severe Insecurity,1
534,sucre,corozal,70215,7,0.0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,1,0.0,0,0,0,3,Work,800000,1,1500000,Buy productive inputs,0,,3.0,Moderate Insecurity,1
535,sucre,corozal,70215,7,0.0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,1,0.0,0,0,0,2,Work,780000,0,,,0,,2.5,Moderate Insecurity,1
